what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1297535260852
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1297535260852
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1297535260852
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1297535260862
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1297535260862
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1297535260862
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1297535260862
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1297535260862
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1297535260862
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1297535260862
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1297535260862
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1297535260863
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1297535260863
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1297535260863
os,sysinfo,,,"win32",1297535260866
arch,sysinfo,,,"x86_64",1297535260866
ws,sysinfo,,,"win32",1297535260866
locale,sysinfo,,,"en_US",1297535260866
processors,sysinfo,,,"2",1297535260866
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297535260866
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1297535260866
java.specification.name,sysinfo,,,"Java Platform API Specification",1297535260866
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297535260866
java.specification.version,sysinfo,,,"1.6",1297535260866
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297535260866
java.version,sysinfo,,,"1.6.0_23",1297535260866
java.vm.info,sysinfo,,,"mixed mode",1297535260866
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1297535260866
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297535260866
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297535260866
java.vm.specification.version,sysinfo,,,"1.0",1297535260866
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297535260866
java.vm.version,sysinfo,,,"19.0-b09",1297535260866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535298598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535322971
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535323562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535325768
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1297535330013
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1297535330031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535330831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535381466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535381507
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1297535381633
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1297535381640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535400860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535401064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535449608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535449647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535451261
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1297535451374
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1297535451383
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535461165
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535461222
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1297535461263
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1297535469644
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535469780
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535469956
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1297535470180
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1297535470653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535482038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535482173
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1297535488641
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535490402
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535491799
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1297535495610
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535498352
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1297535499449
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535504985
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535507277
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535507405
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535507423
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297535509036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535521024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535521185
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1297535523540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297535539486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536016008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536017309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536018731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536018837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536020815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536023826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536024988
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297536025315
error,log,,,"JavaBuilder handling CoreException",1297536025423
error,log,,,"JavaBuilder handling CoreException",1297536025430
error,log,,,"JavaBuilder handling CoreException",1297536025530
error,log,,,"JavaBuilder handling CoreException",1297536025734
error,log,,,"JavaBuilder handling CoreException",1297536025735
error,log,,,"JavaBuilder handling CoreException",1297536025736
error,log,,,"JavaBuilder handling CoreException",1297536025736
error,log,,,"JavaBuilder handling CoreException",1297536025737
error,log,,,"JavaBuilder handling CoreException",1297536025738
error,log,,,"JavaBuilder handling CoreException",1297536025781
error,log,,,"JavaBuilder handling CoreException",1297536025782
error,log,,,"JavaBuilder handling CoreException",1297536026236
error,log,,,"JavaBuilder handling CoreException",1297536026277
error,log,,,"JavaBuilder handling CoreException",1297536026278
error,log,,,"JavaBuilder handling CoreException",1297536026351
error,log,,,"Problems saving workspace",1297536028998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1297536029173
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1297536029212
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1297536029212
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1297536029212
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1297536029212
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1297536029233
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1297536029233
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1297536029233
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1297536029233
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1297536029233
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1297536029234
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1297536029250
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1297536029250
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1297536029250
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1297536029250
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1297536029251
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1297536029251
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1297536029488
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1297536029488
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1297536029488
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1297536029489
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1297536029489
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1297536029489
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1297536029489
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1297536029589
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1297536029623
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1297536029623
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1297536029623
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1297536029623
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1297536029623
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1297536029623
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1297536029624
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1297536029648
